keyword,image,color1,color2,color3
cool-casual,smart,90,151,115
gorgeous,decorative,128,131,90
elegant,mysterious,118,131,90
modern,modern,90,151,129
classic,elaborate,31,128,90
classic,complex,68,126,90
ethnic,wild,91,22,33
ethnic,ethnic,55,31,92
classic,conservative,44,53,92
modern,exact,101,92,146
dandy,diligent,92,138,54
modern,metallic,142,148,92
classic,elaborate,140,47,92
ethnic,untamed,92,47,142
formal,majestic,128,142,92
modern,masculine,93,98,114
classic,classic,33,41,93
classic,sturdy,129,53,93
dandy,placid,57,146,93
classic,heavy and deep,93,56,105
dandy,serious,44,93,142
casual,showy,22,46,94
cool-casual,sporty,22,151,94
cool-casual,young,84,49,94
casual,vivid,130,94,46
dynamic,provocative,118,130,94
cool-casual,speedy,106,151,94
dynamic,active,22,142,94
dynamic,bold,130,94,142
modern,sharp,94,151,142
cool-casual,young,49,151,95
clear,simple,109,151,95
casual,casual,22,48,95
cool-casual,smart,115,151,95
modern,modern,95,149,142
natural,open,34,50,96
natural,fresh,60,151,96
clear,refreshing,73,151,96
casual,enjoyable,132,96,48
cool-casual,youthful,84,86,96
clear,crystalline,108,151,96
dynamic,striking,22,142,96
cool-casual,agile,142,151,96
cool-casual,speedy,106,151,96
natural,peaceful,37,50,97
clear,clear,74,151,97
clear,crystalline,98,151,97
pretty,cute,25,49,97
clear,simple,101,151,97
clear,clean,109,151,97
pretty,childlike,24,50,97
clear,clean and fresh,84,151,97
cool-casual,smart,108,151,97
romantic,charming,133,134,98
romantic,romantic,134,151,98
clear,clear,85,151,98
romantic,dreamy,133,98,50
clear,crystalline,98,151,97
clear,pure,98,151,108
clear,pure and simple,121,98,38
clear,fresh and young,84,98,151
clear,refreshing,98,151,96
elegant,delicate,38,123,99
clear,pure and simple,99,110,100
elegant,polished,125,151,99
chic,quiet,149,99,77
dandy,eminent,127,99,117
modern,urbane,99,125,145
modern,distinguished,99,101,144
natural,peaceful,75,50,100
elegant,interesting,63,124,100
clear,pure and simple,99,110,100
chic,noble and elegant,119,100,123
modern,intellectual,112,114,100
modern,urbane,100,150,114
chic,stylish,142,126,100
cool-casual,smart,50,100,117
modern,precise,100,111,105
modern,precise,101,149,145
chic,quiet,149,101,114
modern,composed,98,101,143
modern,exact,101,114,144
formal,sublime,143,101,115
modern,distinguished,99,101,144
formal,dignified,128,101,81
formal,solemn,146,117,101
formal,authoritative,143,101,142
chic,sober,109,113,102
modern,urbane,146,151,102
modern,rational,102,150,115
modern,exact,145,89,102
modern,composed,149,102,142
modern,modern,102,151,143
dandy,practical,53,102,143
modern,masculine,69,147,102
modern,precise,102,111,116
ethnic,ethnic,31,103,47
modern,composed,151,113,103
cool-casual,agile,103,151,108
elegant,mysterious,130,103,127
modern,precise,149,101,103
modern,masculine,116,110,103
formal,precious,127,150,103
modern,metallic,129,150,103
cool-casual,sporty,46,151,104
modern,urbane,113,111,104
modern,masculine,104,149,107
modern,intellectual,104,149,89
modern,rational,114,111,104
formal,earnest,146,150,104
classic,conservative,44,54,104
formal,dignified,33,146,104
dandy,dapper,142,53,104
dandy,practical,105,54,102
formal,sublime,53,126,105
modern,progressive,105,110,108
ethnic,robust,57,31,105
dandy,dapper,57,53,105
modern,precise,105,125,100
dandy,strong and robust,143,140,105
classic,heavy and deep,93,56,105
formal,solemn,105,125,142
dynamic,lively,22,36,106
clear,clean and fresh,84,151,106
dynamic,vigorous,22,106,46
dynamic,striking,130,46,106
dynamic,intense,142,46,106
modern,sharp,142,151,106
cool-casual,youthful,49,151,107
clear,neat,151,86,107
clear,pure,107,151,98
cool-casual,young,49,85,107
modern,urbane,112,110,107
clear,refreshing,107,151,96
cool-casual,steady,73,50,107
modern,masculine,111,107,142
modern,intellectual,142,151,107
cool-casual,youthful,48,151,108
clear,pure,74,151,108
clear,clear,97,151,108
natural,fresh,60,151,108
clear,fresh and young,98,85,108
clear,crystalline,98,151,108
clear,refreshing,84,151,108
cool-casual,smart,95,151,108
modern,progressive,105,110,108
casual,casual,24,48,109
elegant,refined,150,98,109
clear,clean,109,151,97
elegant,pure and elegant,121,151,109
elegant,polished,113,151,109
clear,refreshing,109,110,85
modern,distinguished,116,109,126
chic,sober,109,113,102
clear,simple,109,151,95
elegant,emotional,135,110,150
clear,light,50,151,110
elegant,pure and elegant,110,151,98
romantic,romantic,122,110,74
elegant,polished,113,123,110
clear,pure and simple,99,110,109
romantic,dreamy,133,38,110
elegant,sedate,148,125,110
modern,composed,116,110,101
elegant,delicate,111,123,150
elegant,fashionable,74,111,147
elegant,polished,111,151,99
elegant,subtle,122,135,111
modern,urbane,113,149,111
chic,quiet,150,111,147
chic,noble and elegant,137,111,143
modern,exact,145,111,114
modern,precise,99,111,105
elegant,pure and elegant,98,121,112
clear,simple,149,151,112
clear,crystalline,98,151,112
elegant,refined,125,149,112
modern,urbane,123,112,145
cool-casual,smart,144,110,112
dandy,aristocratic,105,119,112
dandy,subtle and mysterious,145,113,112
modern,intellectual,143,112,107
elegant,refined,135,148,113
elegant,graceful,123,124,113
chic,chic,41,149,113
elegant,polished,110,123,113
chic,sober,125,150,113
formal,majestic,128,113,143
modern,urbane,99,113,145
modern,precise,113,149,116
modern,progressive,148,50,114
cool-casual,steady,114,74,71
cool-casual,western,85,151,114
chic,chic,125,148,114
chic,quiet,149,101,114
modern,modern,114,122,144
modern,intellectual,112,114,100
modern,cultivated,114,148,116
modern,masculine,143,151,114
dynamic,lively,34,115,22
cool-casual,smart,89,151,115
cool-casual,agile,115,151,96
dynamic,vigorous,22,46,115
modern,composed,115,147,117
modern,rational,115,150,102
formal,sublime,115,101,143
modern,masculine,129,150,115
formal,earnest,143,148,115
modern,distinguished,126,109,116
modern,intellectual,116,147,110
cool-casual,agile,46,150,116
dandy,eminent,99,126,116
modern,precise,116,149,113
modern,sharp,116,151,84
formal,earnest,44,147,116
modern,masculine,103,110,116
formal,formal,142,148,116
formal,dignified,57,53,117
classic,traditional,44,117,65
modern,metallic,117,150,146
classic,sturdy,117,43,142
formal,solemn,146,117,101
formal,proper,117,150,115
dandy,strong and robust,33,146,117
classic,heavy and deep,117,44,143
formal,authoritative,117,101,143
casual,dazzling,34,118,46
gorgeous,glossy,24,130,118
casual,amusing,132,118,58
casual,showy,130,118,46
gorgeous,fascinating,130,25,118
elegant,mysterious,131,88,118
gorgeous,decorative,118,47,31
gorgeous,brilliant,121,132,118
dynamic,provocative,130,72,118
gorgeous,alluring,131,133,119
gorgeous,glossy,135,136,119
chic,noble and elegant,119,109,113
gorgeous,brilliant,24,131,119
elegant,mysterious,131,73,119
dandy,eminent,119,111,116
classic,elaborate,54,32,119
dandy,aristocratic,125,119,143
formal,precious,116,119,142
casual,colorful,48,24,120
elegant,refined,120,149,109
elegant,pure and elegant,120,121,110
casual,amusing,24,61,120
gorgeous,brilliant,120,121,119
elegant,sleek,121,120,113
gorgeous,glossy,130,120,118
gorgeous,alluring,131,120,129
modern,modern,151,120,142
elegant,tender,133,26,121
romantic,sweet and dreamy,25,134,121
clear,pure and simple,121,150,111
elegant,feminine,136,121,122
elegant,emotional,134,121,125
elegant,pure and elegant,98,121,112
gorgeous,fascinating,121,132,126
gorgeous,brilliant,120,121,119
elegant,sleek,121,113,123
romantic,soft,27,122,86
romantic,romantic,122,50,98
elegant,tender,149,122,98
romantic,sweet and dreamy,37,133,122
elegant,cultured,135,122,123
romantic,dreamy,86,122,111
elegant,feminine,136,122,121
elegant,delicate,122,148,63
elegant,subtle,122,123,111
natural,gentle and elegant,27,134,123
elegant,sedate,123,135,111
elegant,delicate,122,123,111
elegant,elegant,134,123,137
elegant,cultured,135,125,123
elegant,noble,123,98,113
elegant,graceful,123,124,113
elegant,subtle,125,150,123
chic,chic,123,147,145
elegant,feminine,133,38,124
elegant,emotional,134,86,124
clear,pure and simple,124,150,100
elegant,tender,136,122,124
elegant,graceful,133,124,125
elegant,fashionable,125,124,86
gorgeous,brilliant,131,124,126
elegant,elegant,113,124,135
elegant,interesting,63,124,89
elegant,graceful,28,135,125
elegant,elegant,125,124,149
elegant,refined,125,123,112
chic,japanese,65,51,125
elegant,fashionable,135,125,101
elegant,sedate,125,150,147
elegant,subtle,54,125,111
elegant,sleek,138,125,148
dandy,subtle and mysterious,125,148,143
chic,stylish,52,126,148
modern,distinguished,89,149,126
chic,noble and elegant,123,112,126
gorgeous,brilliant,131,124,126
dandy,aristocratic,126,113,116
dandy,eminent,112,126,142
ethnic,ethnic,25,126,66
formal,precious,146,142,126
formal,sublime,149,126,143
casual,colorful,130,46,127
gorgeous,brilliant,131,149,127
dandy,eminent,127,99,117
gorgeous,luxurious,31,47,127
gorgeous,mellow,31,29,127
gorgeous,extravagant,32,55,127
gorgeous,gorgeous,139,47,127
gorgeous,alluring,131,127,138
formal,precious,127,41,142
gorgeous,mellow,139,54,128
classic,tasteful,56,29,128
chic,modest,128,65,148
classic,elaborate,31,128,90
classic,classic,42,56,128
formal,sublime,101,128,149
gorgeous,decorative,128,131,90
classic,traditional,128,43,68
formal,majestic,142,128,113
gorgeous,alluring,131,120,129
modern,rational,149,112,129
modern,modern,90,151,129
classic,conservative,45,148,129
formal,dignified,129,101,81
modern,masculine,129,151,114
classic,sturdy,129,53,93
dandy,serious,143,56,129
formal,solemn,129,147,144
casual,dazzling,130,151,46
casual,vivid,130,70,46
casual,flamboyant,130,46,94
casual,tropical,130,36,83
casual,showy,130,118,46
casual,colorful,47,130,127
dynamic,dynamic,130,46,142
dynamic,fiery,58,130,142
dynamic,provocative,118,130,83
gorgeous,abundant,22,34,131
gorgeous,brilliant,131,133,126
cool-casual,western,131,150,100
gorgeous,glossy,132,118,131
gorgeous,alluring,130,127,131
elegant,mysterious,131,73,119
casual,amusing,131,46,118
gorgeous,decorative,126,142,131
classic,complex,126,131,103
pretty,cute,132,49,84
casual,amusing,36,73,132
pretty,childlike,132,49,97
casual,happy,132,122,22
casual,merry,132,36,58
pretty,pretty,132,50,108
gorgeous,fascinating,121,132,126
casual,colorful,132,84,118
casual,enjoyable,61,132,107
pretty,pretty,133,151,49
romantic,soft,26,133,122
romantic,innocent,133,74,26
pretty,sweet,25,38,133
romantic,charming,133,38,86
romantic,dreamy,133,50,98
romantic,sweet and dreamy,133,26,121
elegant,tender,133,134,87
elegant,feminine,124,133,86
romantic,agreeable to the touch,27,38,134
romantic,supple,134,151,74
romantic,romantic,134,151,110
natural,sunny,37,50,134
romantic,innocent,133,134,50
romantic,charming,133,134,98
natural,pleasant,39,28,134
natural,gentle and elegant,27,134,123
elegant,emotional,134,86,124
natural,mild,39,38,135
elegant,feminine,135,38,121
elegant,graceful,135,150,124
elegant,cultured,135,122,123
elegant,delicate,122,135,148
romantic,supple,38,111,135
elegant,emotional,135,28,41
elegant,sleek,122,135,125
elegant,refined,135,148,113
natural,pleasant,29,27,136
elegant,tender,136,122,124
elegant,feminine,136,121,122
natural,nostalgic,29,68,136
elegant,sedate,136,125,138
elegant,graceful,136,137,126
gorgeous,glossy,130,119,136
gorgeous,alluring,138,136,126
cool-casual,western,110,136,116
elegant,tender,26,28,137
elegant,sleek,27,148,137
elegant,elegant,122,124,137
natural,mild,135,148,137
elegant,emotional,29,123,137
elegant,subtle,137,123,149
gorgeous,alluring,23,137,126
elegant,graceful,135,136,137
chic,chic,137,123,113
elegant,sleek,138,125,135
elegant,interesting,52,138,89
elegant,cultured,138,150,123
gorgeous,alluring,138,136,126
classic,complex,47,90,138
classic,tasteful,45,53,138
gorgeous,mellow,139,23,138
gorgeous,extravagant,127,47,138
classic,classic,42,138,105
gorgeous,mature,139,23,54
gorgeous,extravagant,139,47,128
gorgeous,gorgeous,139,55,127
gorgeous,mellow,139,42,128
ethnic,ethnic,139,47,79
gorgeous,decorative,139,90,55
gorgeous,alluring,139,131,127
gorgeous,luxurious,47,139,142
classic,elaborate,139,66,128
gorgeous,substantial,140,54,47
gorgeous,mellow,44,30,140
classic,tasteful,57,54,140
classic,elaborate,140,47,92
classic,classic,140,42,128
formal,majestic,140,113,142
gorgeous,mature,140,23,141
classic,old-fashioned,140,54,68
dandy,strong and robust,143,140,105
gorgeous,luxurious,23,47,141
classic,rustic,44,54,141
gorgeous,mature,140,23,141
classic,sturdy,141,56,142
formal,majestic,141,147,129
classic,heavy and deep,141,44,81
dandy,serious,141,145,117
formal,solemn,141,146,142
romantic,romantic,134,151,74
clear,clear,85,151,98
clear,crystalline,85,151,108
casual,festive,22,151,46
clear,simple,149,151,112
cool-casual,youthful,49,151,72
cool-casual,sporty,22,151,115
natural,fresh,60,151,108
modern,sharp,82,151,142
elegant,cultured,125,135,150
clear,pure and simple,121,150,111
elegant,noble,113,150,89
elegant,sedate,29,123,150
chic,quiet,150,101,114
elegant,polished,99,150,111
natural,dry,51,150,53
modern,composed,150,113,103
modern,metallic,146,150,117
chic,chic,41,149,113
elegant,refined,125,149,112
chic,quiet,149,101,114
chic,simple quiet and elegant,41,148,149
chic,sober,65,149,111
cool-casual,youthful,104,149,89
modern,distinguished,149,101,102
modern,rational,149,107,116
modern,modern,143,149,82
elegant,elegant,125,148,135
natural,tranquil,75,51,148
elegant,subtle,123,148,113
chic,chic,125,148,101
natural,simple and appealing,52,53,148
formal,earnest,117,148,115
chic,sober,53,148,65
chic,simple quiet and elegant,44,148,54
modern,metallic,92,148,142
natural,simple and appealing,65,51,147
chic,simple quiet and elegant,41,147,149
modern,intellectual,110,147,116
classic,provincial,54,147,53
chic,modest,147,65,33
formal,solemn,117,147,143
modern,masculine,69,147,102
formal,formal,44,147,115
formal,sublime,147,142,125
chic,sober,65,148,146
chic,chic,89,150,146
formal,earnest,104,150,146
formal,majestic,128,146,143
formal,solemn,146,117,101
modern,exact,146,115,142
dandy,sound,146,44,117
dandy,strong and robust,57,146,143
formal,dignified,116,146,142
classic,provincial,149,65,145
chic,chic,137,123,145
modern,urbane,99,125,145
dandy,diligent,145,41,57
dandy,subtle and mysterious,53,145,143
formal,formal,145,150,117
dandy,serious,33,145,142
modern,exact,105,145,111
modern,precise,143,101,145
modern,exact,146,111,144
modern,urbane,144,101,99
dandy,bitter,57,53,144
dandy,subtle and mysterious,41,146,144
formal,authoritative,144,147,116
classic,conservative,53,144,44
dandy,quiet and sophisticated,144,56,81
formal,solemn,144,113,117
dandy,subtle and mysterious,125,148,143
modern,intellectual,143,149,100
formal,formal,143,150,113
classic,old-fashioned,44,42,143
classic,sturdy,57,65,143
formal,sublime,143,115,101
ethnic,robust,33,31,143
classic,heavy and deep,143,44,117
formal,authoritative,117,101,143
dynamic,bold,22,142,46
chic,stylish,142,126,100
modern,modern,142,98,82
dynamic,fiery,142,34,22
dynamic,intense,118,46,142
modern,sharp,142,151,106
dynamic,striking,130,142,82
dandy,strong and robust,45,41,142
modern,metallic,142,114,1480